cluster_id,cluster_name,state,district,block,village,category,centroid_farmers,centroid_farms,centroid_acres,data_farmers,data_farms,data_acres
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,,,,,4200,6392,100583.04,4190,6406,101012.5
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,,,,571,729,19242.23,613,807,22625.92
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,,,187,273,9060.83,129,206,7922.1
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,,,,,59,89,3466.95,30,53,2145.19
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Adhoya,,3,5,340.8,1,2,103.23
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Adhoya,EF-Y4,3,5,340.8,1,2,103.23
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Diwana,,1,1,11.72,0,0,0
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Diwana,EF-Y3,1,1,11.72,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Mohanpur,,4,4,178.17,0,0,0
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Mohanpur,EF-Y4,4,4,178.17,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Ishaq,,2,2,81.71,1,1,51.62
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Ishaq,EF-Y4,2,2,81.71,1,1,51.62
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Rattangarh Kakrali,,1,1,59.3,0,0,0
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Rattangarh Kakrali,EF-Y4,1,1,59.3,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Seionsar,,2,4,185.04,0,0,0
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Seionsar,EF-Y4,2,4,185.04,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Nimbwala,,1,2,64.81,0,0,0
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Nimbwala,EF-Y4,1,2,64.81,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Ramgarh Rod,,2,2,81.7,0,0,0
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Ramgarh Rod,EF-Y4,2,2,81.7,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Saina Saidan,,6,7,222.42,0,0,0
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Saina Saidan,EF-Y2,1,1,19.24,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Saina Saidan,EF-Y3,1,1,20,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Saina Saidan,EF-Y4,4,4,171.52,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Saina Saidan,NA-D-Y3,1,1,11.66,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Bakhli,,8,9,384.04,7,9,357.83
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Bakhli,EF-Y3,,,,1,1,20
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Bakhli,EF-Y4,8,9,384.04,6,8,337.83
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Helwa,,3,3,119.84,5,15,573.56
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Helwa,EF-Y3,1,1,12.57,1,1,12.57
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Helwa,EF-Y4,2,2,107.27,4,14,560.99
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Guldehra,,2,3,103.09,2,8,344.96
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Guldehra,EF-Y4,2,3,103.09,2,8,344.96
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Mangna,,3,3,120.53,0,0,0
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Mangna,EF-Y4,3,3,120.53,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Dhulgarh,,2,2,76.55,0,0,0
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Dhulgarh,EF-Y4,2,2,76.55,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Zulmat,,5,5,190.64,1,1,60.07
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Zulmat,EF-Y4,5,5,190.64,1,1,60.07
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Shahpur,,6,6,216.44,7,9,327.4
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Shahpur,EF-Y2,1,1,33.88,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Shahpur,EF-Y4,5,5,182.56,7,9,327.4
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Teokar,,2,2,61.53,0,0,0
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Teokar,EF-Y4,2,2,61.53,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Kalsa,,2,2,54.77,1,1,15.05
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Kalsa,EF-Y3,1,1,15.05,1,1,15.05
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Kalsa,EF-Y4,1,1,39.72,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Bodhni,,6,6,233.18,2,2,92.58
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Bodhni,EF-Y2,1,1,19.96,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Bodhni,EF-Y4,4,4,150.87,2,2,92.58
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Bodhni,NA-Y4,1,1,62.35,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Tangoli,,3,4,187.86,1,1,50.76
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Tangoli,EF-Y4,3,4,187.86,1,1,50.76
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Jakhwala,,3,5,257.68,1,3,149.52
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Jakhwala,EF-Y4,3,5,257.68,1,3,149.52
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Bodha,,0,0,0,1,1,18.61
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Bodha,EF-Y4,,,,1,1,18.61
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Harigarh Bhorakh,,7,9,196.38,0,0,0
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Harigarh Bhorakh,EF-Y4,7,9,196.38,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Jurasi Kalan,,1,1,13.61,0,0,0
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Jurasi Kalan,EF-Y4,1,1,13.61,,,
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Jurasi Khurd,,1,1,25.14,0,0,0
adoya_pehowa_cluster_1776396370270,Adoya Pehowa Cluster,haryana,Kurukshetra,Pehowa,Jurasi Khurd,EF-Y4,1,1,25.14,,,
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,,,,,4200,6392,100583.04,4190,6406,101012.5
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,,,,379,441,11532.37,372,421,10300.33
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,,,26,31,945.56,18,24,431.14
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,,,,,16,19,699.13,4,5,139.31
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Jadola,,1,1,41.2,0,0,0
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Jadola,EF-Y4,1,1,41.2,,,
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Jajanpur,,2,3,135.38,0,0,0
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Jajanpur,EF-Y4,2,3,135.38,,,
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Pabnawa,,5,6,232.44,0,0,0
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Pabnawa,EF-Y1,1,1,24.77,,,
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Pabnawa,EF-Y4,4,5,207.67,,,
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Salimpur Mehdud,,1,1,59.94,1,2,15.52
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Salimpur Mehdud,EF-Y4,1,1,59.94,1,2,15.52
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Sohlu Majra,,1,1,39.71,0,0,0
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Sohlu Majra,EF-Y4,1,1,39.71,,,
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Kaul,,3,3,123.79,3,3,123.79
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Kaul,EF-Y4,3,3,123.79,3,3,123.79
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Pabla,,1,1,53.34,0,0,0
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Pabla,EF-Y4,1,1,53.34,,,
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Ahun,,1,1,5.81,0,0,0
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Ahun,EF-Y4,1,1,5.81,,,
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Dosain,,1,1,5.37,0,0,0
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Dosain,NA-D-Y2,1,1,5.37,,,
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Mohna,,1,1,2.15,0,0,0
ahun_pundri_cluster_1776409688970,Ahun Pundri Cluster,haryana,Kaithal,Pundri,Mohna,EF-Y4,1,1,2.15,,,
alewa_cluster_1776490152858,Alewa Cluster,haryana,,,,,4200,6392,100583.04,4190,6406,101012.5
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,,,,703,837,13871.84,714,851,14465.84
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,,,118,137,2140.43,138,151,2248.54
alewa_cluster_1776490152858,Alewa Cluster,haryana,,,,,68,80,1028.08,59,66,924.7
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Khanda,,8,8,76.35,17,18,196.81
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Khanda,EF-Y1,,,,1,2,25.01
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Khanda,EF-Y4,2,2,18.25,1,1,2.01
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Khanda,NA-D-Y2,6,6,58.1,15,15,169.79
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Alewa,,13,17,276.83,11,15,245.31
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Alewa,EF-Y3,2,2,25.06,2,2,25.06
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Alewa,EF-Y4,8,12,216.36,9,13,220.25
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Alewa,NA-D-Y2,3,3,35.41,,,
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Badhana,,2,2,35.15,0,0,0
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Badhana,EF-Y4,2,2,35.15,,,
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Katwal,,6,6,109.98,2,2,51.49
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Katwal,EF-Y4,6,6,109.98,2,2,51.49
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Durana,,9,11,74.73,8,10,69.11
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Durana,EF-Y1,1,2,10.02,1,2,10.02
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Durana,EF-Y2,2,2,9.44,2,2,9.44
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Durana,EF-Y4,4,5,48.4,3,4,42.78
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Durana,NA-D-Y1,1,1,3.94,1,1,3.94
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Durana,NA-D-Y2,1,1,2.93,1,1,2.93
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Kheri Bulanwali,,1,1,13.85,0,0,0
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Kheri Bulanwali,EF-Y4,1,1,13.85,,,
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Pegan,,6,9,188.01,5,5,104.63
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Pegan,EF-Y1,1,3,30,,,
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Pegan,EF-Y3,1,1,10,,,
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Pegan,EF-Y4,5,5,148.01,5,5,104.63
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Majra Pegan,,1,1,22.75,0,0,0
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Majra Pegan,EF-Y4,1,1,22.75,,,
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Shamdo,,3,3,42.12,0,0,0
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Shamdo,EF-Y3,1,1,6.75,,,
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Shamdo,EF-Y4,2,2,35.37,,,
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Gohian,,12,13,134.66,0,0,0
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Gohian,EF-Y1,1,2,25.01,,,
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Gohian,NA-D-Y2,11,11,109.65,,,
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Dhillowal,,6,6,38.07,0,0,0
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Dhillowal,EF-Y1,1,1,5,,,
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Dhillowal,NA-D-Y2,5,5,33.07,,,
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Raichandwala,,3,3,15.58,16,16,257.35
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Raichandwala,EF-Y4,,,,5,5,95.06
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Raichandwala,NA-D-Y2,3,3,15.58,3,3,49.34
alewa_cluster_1776490152858,Alewa Cluster,haryana,Jind,Alewa,Raichandwala,NA-Y4,,,,8,8,112.95
ambala_1_cluster_1776487618012,Ambala 1 Cluster,haryana,,,,,4200,6392,100583.04,4190,6406,101012.5
ambala_1_cluster_1776487618012,Ambala 1 Cluster,haryana,Ambala,,,,123,136,3756.65,120,133,3271.53
ambala_1_cluster_1776487618012,Ambala 1 Cluster,haryana,Ambala,Ambala-I,,,47,55,2218.59,20,23,479.59
ambala_1_cluster_1776487618012,Ambala 1 Cluster,haryana,,,,,45,51,2073.6,3,4,141.07
ambala_1_cluster_1776487618012,Ambala 1 Cluster,haryana,Ambala,Ambala-I,Dorana,,4,4,205.13,1,1,28.08
ambala_1_cluster_1776487618012,Ambala 1 Cluster,haryana,Ambala,Ambala-I,Dorana,EF-Y4,4,4,205.13,1,1,28.08
ambala_1_cluster_1776487618012,Ambala 1 Cluster,haryana,Ambala,Ambala-I,Shahabpura,,6,6,157.46,0,0,0
ambala_1_cluster_1776487618012,Ambala 1 Cluster,haryana,Ambala,Ambala-I,Shahabpura,EF-Y4,6,6,157.46,,,
ambala_1_cluster_1776487618012,Ambala 1 Cluster,haryana,Ambala,Ambala-I,Mansurpur,,4,4,57.61,0,0,0
ambala_1_cluster_1776487618012,Ambala 1 Cluster,haryana,Ambala,Ambala-I,Mansurpur,EF-Y4,4,4,57.61,,,
ambala_1_cluster_1776487618012,Ambala 1 Cluster,haryana,Ambala,Ambala-I,Dhanori,,1,1,43.15,0,0,0
ambala_1_cluster_1776487618012,Ambala 1 Cluster,haryana,Ambala,Ambala-I,Dhanori,EF-Y4,1,1,43.15,,,
